Format Version,1.1,Take Name,Take 2018-06-08 05.29.20 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2018-06-08 05.29.20.683 PM,Total Frames,140,Rotation Type,Quaternion

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,NAO,NAO,NAO,NAO,NAO,NAO,NAO,NAO,1,1,1,1,2,2,2,2,3,3,3,3,NAO_1,NAO_1,NAO_1,NAO_2,NAO_2,NAO_2,NAO_3,NAO_3,NAO_3
,,"AE07894F6B3011E8918BAF18100026B2","AE07894F6B3011E8918BAF18100026B2","AE07894F6B3011E8918BAF18100026B2","AE07894F6B3011E8918BAF18100026B2","AE07894F6B3011E8918BAF18100026B2","AE07894F6B3011E8918BAF18100026B2","AE07894F6B3011E8918BAF18100026B2","AE07894F6B3011E8918BAF18100026B2","AE07894F6B3011E8918BAF18100026B2","AE07894F6B3011E8918BAF18100026B2","AE07894F6B3011E8918BAF18100026B2","AE07894F6B3011E8918BAF18100026B2","AE07894F6B3011E8918BAF18100026B2","AE07894F6B3011E8918BAF18100026B2","AE07894F6B3011E8918BAF18100026B2","AE07894F6B3011E8918BAF18100026B2","AE07894F6B3011E8918BAF18100026B2","AE07894F6B3011E8918BAF18100026B2","AE07894F6B3011E8918BAF18100026B2","AE07894F6B3011E8918BAF18100026B2","8392B20CF49E3573200000001","8392B20CF49E3573200000001","8392B20CF49E3573200000001","8392B20CF49E3573200000002","8392B20CF49E3573200000002","8392B20CF49E3573200000002","8392B20CF49E3573200000003","8392B20CF49E3573200000003","8392B20CF49E3573200000003"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.000118,-0.000107,0.000312,1.000000,0.286925,0.552889,-0.837672,0.000047,0.227638,0.554409,-0.781255,0.913521,0.288453,0.549744,-0.879069,0.914784,0.344683,0.554513,-0.852693,0.887090,0.227656,0.554413,-0.781247,0.288484,0.549744,-0.879088,0.344637,0.554512,-0.852681
1,0.008333,-0.000070,-0.000111,0.000195,1.000000,0.286909,0.552903,-0.837654,0.000030,0.227621,0.554432,-0.781237,0.938726,0.288437,0.549761,-0.879051,0.970447,0.344667,0.554515,-0.852674,0.913823,0.227639,0.554433,-0.781248,0.288451,0.549761,-0.879062,0.344636,0.554515,-0.852653
2,0.016667,-0.000212,0.000037,0.000539,1.000000,0.286935,0.552876,-0.837655,0.000062,0.227663,0.554380,-0.781220,0.862432,0.288453,0.549724,-0.879051,0.940440,0.344688,0.554524,-0.852692,0.825701,0.227699,0.554384,-0.781242,0.288484,0.549722,-0.879088,0.344623,0.554524,-0.852637
3,0.025000,-0.000148,-0.000142,0.000011,1.000000,0.286931,0.552888,-0.837668,0.000041,0.227641,0.554448,-0.781255,0.888852,0.288461,0.549740,-0.879064,0.916099,0.344692,0.554477,-0.852685,0.948658,0.227617,0.554451,-0.781227,0.288476,0.549738,-0.879097,0.344701,0.554477,-0.852678
4,0.033333,0.000097,-0.000092,-0.000084,1.000000,0.286937,0.552883,-0.837664,0.000018,0.227653,0.554427,-0.781244,0.956027,0.288462,0.549755,-0.879062,0.944769,0.344696,0.554468,-0.852686,0.988712,0.227643,0.554431,-0.781233,0.288469,0.549753,-0.879091,0.344692,0.554469,-0.852665
5,0.041667,0.000220,0.000086,0.000078,1.000000,0.286947,0.552875,-0.837677,0.000027,0.227683,0.554386,-0.781235,0.924518,0.288458,0.549758,-0.879076,0.961734,0.344700,0.554483,-0.852719,0.950401,0.227697,0.554385,-0.781258,0.288452,0.549756,-0.879074,0.344691,0.554483,-0.852697
