Format Version,1.1,Take Name,py,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2018-06-08 05.34.52.790 PM,Total Frames,62,Rotation Type,Quaternion

,,Marker,Marker,Marker
,,Marker_10048,Marker_10048,Marker_10048
,,"8392B20CF49E35702740","8392B20CF49E35702740","8392B20CF49E35702740"
,,Position,Position,Position
Frame,Time,X,Y,Z
0,0.000000,0.335188,0.441818,-2.152910
1,0.008333,0.335204,0.441830,-2.152886
2,0.016667,0.335285,0.441796,-2.152911
3,0.025000,0.335251,0.441789,-2.152907
4,0.033333,0.335280,0.441770,-2.152912
5,0.041667,0.335254,0.441783,-2.152891
6,0.050000,0.335258,0.441792,-2.152903
7,0.058333,0.335335,0.441726,-2.152938
8,0.066667,0.335327,0.441753,-2.152933
9,0.075000,0.335256,0.441807,-2.152907
10,0.083333,0.335248,0.441768,-2.152923
11,0.091667,0.335268,0.441767,-2.152915
12,0.100000,0.335248,0.441809,-2.152920
13,0.108333,0.335316,0.441773,-2.152903
14,0.116667,0.335319,0.441753,-2.152934
15,0.125000,0.335338,0.441774,-2.152937
16,0.133333,0.335297,0.441777,-2.152915
17,0.141667,0.335271,0.441769,-2.152906
18,0.150000,0.335281,0.441774,-2.152916
19,0.158333,0.335332,0.441755,-2.152917
20,0.166667,0.335276,0.441823,-2.152902
21,0.175000,0.335321,0.441751,-2.152904
22,0.183333,0.335274,0.441788,-2.152915
23,0.191667,0.335248,0.441784,-2.152941
24,0.200000,0.335297,0.441751,-2.152928
25,0.208333,0.335254,0.441812,-2.152918
26,0.216667,0.335367,0.441734,-2.152930
27,0.225000,0.335342,0.441717,-2.152935
28,0.233333,0.335221,0.441803,-2.152911
29,0.241667,0.335238,0.441795,-2.152917
30,0.250000,0.335277,0.441745,-2.152939
31,0.258333,0.335262,0.441762,-2.152920
32,0.266667,0.335363,0.441695,-2.152956
33,0.275000,0.335281,0.441736,-2.152916
34,0.283333,0.335265,0.441746,-2.152941
35,0.291667,0.335218,0.441797,-2.152900
36,0.300000,0.335265,0.441764,-2.152925
37,0.308333,0.335251,0.441760,-2.152946
38,0.316667,0.335278,0.441743,-2.152920
39,0.325000,0.335221,0.441801,-2.152921
40,0.333333,0.335240,0.441768,-2.152908
41,0.341667,0.335253,0.441745,-2.152930
42,0.350000,0.335289,0.441730,-2.152956
43,0.358333,0.335287,0.441741,-2.152940
44,0.366667,0.335220,0.441804,-2.152941
45,0.375000,0.335232,0.441775,-2.152912
46,0.383333,0.335209,0.441782,-2.152905
47,0.391667,0.335226,0.441770,-2.152917
48,0.400000,0.335293,0.441748,-2.152965
49,0.408333,0.335223,0.441822,-2.152920
50,0.416667,0.335231,0.441791,-2.152903
51,0.425000,0.335243,0.441774,-2.152931
52,0.433333,0.335194,0.441801,-2.152907
53,0.441667,0.335218,0.441807,-2.152901
54,0.450000,0.335251,0.441772,-2.152935
55,0.458333,0.335240,0.441809,-2.152911
56,0.466667,0.335297,0.441766,-2.152925
57,0.475000,0.335290,0.441749,-2.152928
58,0.483333,0.335264,0.441775,-2.152924
59,0.491667,0.335246,0.441811,-2.152921
60,0.500000,0.335224,0.441814,-2.152897
61,0.508333,0.335284,0.441790,-2.152924
