Format Version,1.1,Take Name,yp,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2018-06-08 05.33.31.045 PM,Total Frames,64,Rotation Type,Quaternion

,,Marker,Marker,Marker
,,Marker_10037,Marker_10037,Marker_10037
,,"8392B20CF49E35702735","8392B20CF49E35702735","8392B20CF49E35702735"
,,Position,Position,Position
Frame,Time,X,Y,Z
0,0.000000,0.311905,0.438113,-2.154071
1,0.008333,0.308201,0.440938,-2.151832
2,0.016667,0.311897,0.438098,-2.154091
3,0.025000,0.308079,0.441032,-2.151725
4,0.033333,0.308111,0.441007,-2.151769
5,0.041667,0.311888,0.438125,-2.154063
6,0.050000,0.311931,0.438095,-2.154094
7,0.058333,0.312000,0.438035,-2.154125
8,0.066667,0.311946,0.438079,-2.154099
9,0.075000,0.308191,0.440960,-2.151821
10,0.083333,0.312016,0.438051,-2.154122
11,0.091667,0.311890,0.438115,-2.154070
12,0.100000,0.311958,0.438064,-2.154109
13,0.108333,0.311950,0.438060,-2.154100
14,0.116667,0.311930,0.438082,-2.154108
15,0.125000,0.308130,0.441001,-2.151795
16,0.133333,0.308144,0.440994,-2.151787
17,0.141667,0.308145,0.441016,-2.151772
18,0.150000,0.308160,0.440989,-2.151808
19,0.158333,0.312015,0.437998,-2.154123
20,0.166667,0.308181,0.440946,-2.151838
21,0.175000,0.308085,0.441039,-2.151746
22,0.183333,0.308102,0.441039,-2.151750
23,0.191667,0.311957,0.438081,-2.154101
24,0.200000,0.308094,0.441037,-2.151736
25,0.208333,0.311936,0.438094,-2.154094
26,0.216667,0.311952,0.438083,-2.154100
27,0.225000,0.311963,0.438082,-2.154104
28,0.233333,0.311963,0.438083,-2.154090
29,0.241667,0.311979,0.438054,-2.154107
30,0.250000,0.311977,0.438056,-2.154103
31,0.258333,0.311995,0.438051,-2.154113
32,0.266667,0.311967,0.438068,-2.154102
33,0.275000,0.311976,0.438068,-2.154098
34,0.283333,0.311950,0.438066,-2.154099
35,0.291667,0.308163,0.440979,-2.151791
36,0.300000,0.308137,0.440993,-2.151755
37,0.308333,0.308130,0.440978,-2.151798
38,0.316667,0.308051,0.441066,-2.151706
39,0.325000,0.311980,0.438065,-2.154106
40,0.333333,0.308070,0.441046,-2.151760
41,0.341667,0.308160,0.440979,-2.151773
42,0.350000,0.308095,0.441032,-2.151764
43,0.358333,0.308104,0.441028,-2.151754
44,0.366667,0.311987,0.438049,-2.154102
45,0.375000,0.311942,0.438076,-2.154092
46,0.383333,0.311875,0.438117,-2.154073
47,0.391667,0.308122,0.441009,-2.151787
48,0.400000,0.311945,0.438076,-2.154081
49,0.408333,0.311897,0.438129,-2.154088
50,0.416667,0.311942,0.438061,-2.154095
51,0.425000,0.311957,0.438068,-2.154107
52,0.433333,0.311962,0.438075,-2.154110
53,0.441667,0.311927,0.438107,-2.154099
54,0.450000,0.311993,0.438013,-2.154125
55,0.458333,0.311962,0.438068,-2.154096
56,0.466667,0.312033,0.438008,-2.154132
57,0.475000,0.312031,0.438014,-2.154111
58,0.483333,0.311970,0.438055,-2.154109
59,0.491667,0.312008,0.438065,-2.154106
60,0.500000,0.308195,0.440950,-2.151832
61,0.508333,0.311894,0.438131,-2.154094
62,0.516667,0.308101,0.441043,-2.151746
63,0.525000,0.308113,0.441028,-2.151768
